Top pages,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
https://edgpatioshade.com/careers/,0,1,6,38,0%,2.63%,5.83,8.16
https://www.edgpatioshade.com/service-areas/algonquin-il/retractable-screens,0,0,6,0,0%,0%,6.67,0
https://www.edgpatioshade.com/projects/ohare,0,0,6,0,0%,0%,9,0
https://www.edgpatioshade.com/projects/hildebrant,0,0,5,0,0%,0%,24.2,0
https://www.edgpatioshade.com/yoder-smokers-pellet-grills,0,0,5,0,0%,0%,43.4,0
https://www.edgpatioshade.com/contact?area=sanibel&source=growth-engine-sanibel-outdoor,0,0,4,78,0%,0%,36,41.33
https://www.edgpatioshade.com/pro,0,0,3,454,0%,0%,3,30.42
https://www.edgpatioshade.com/commercial/hotel-pergolas,0,0,3,158,0%,0%,5.33,18.49
https://www.edgpatioshade.com/images/shades/shade-deployed-screens-01.jpg,0,0,2,3,0%,0%,2.5,29.33
https://www.edgpatioshade.com/images/brand/hero-pergola.jpg,0,0,1,2,0%,0%,3,27
https://www.edgpatioshade.com/_next/image?url=/images/brand/hero-pergola.jpg&w=3840&q=75&dpl=dpl_6MJ7dfXjopD38tcCpWBMNJn2B1nT,0,0,1,0,0%,0%,4,0
https://www.edgpatioshade.com/_next/image?url=/images/shades/shades-hero.jpg&w=3840&q=75&dpl=dpl_32ddEDdrPGqYBXc7YXZrHwMonfjC,0,0,1,0,0%,0%,4,0
https://www.edgpatioshade.com/_next/image?url=/images/brand/hero-pergola.jpg&w=3840&q=75&dpl=dpl_2uRW2DFYebZNVQ9LP55bdG9Az2G8,0,0,1,0,0%,0%,5,0
https://www.edgpatioshade.com/images/enclosures/glass-enclosure-closed-exterior.jpg,0,0,1,0,0%,0%,7,0
https://www.edgpatioshade.com/service-areas/lake-forest-il/motorized-pergolas,0,0,1,0,0%,0%,7,0
https://edgpatioshade.com/2025/04/21/magnatrack-vs-zipper-screens/,0,19,0,866,0%,2.19%,0,17.91
https://edgpatioshade.com/motorized-retractable-screens/,0,7,0,1396,0%,0.5%,0,37.36
https://edgpatioshade.com/custom-aluminum-pergola-grand-rapids-michigan/,0,5,0,909,0%,0.55%,0,29.29
https://edgpatioshade.com/custom-aluminum-pergola-madison-wisconsin/,0,3,0,1237,0%,0.24%,0,28.62
https://edgpatioshade.com/louvered-pergola/,0,3,0,609,0%,0.49%,0,45.03
https://edgpatioshade.com/custom-aluminum-pergola-minneapolis-minnesota/,0,3,0,440,0%,0.68%,0,24.92
https://edgpatioshade.com/how-much-are-louvered-pergolas/,0,2,0,1211,0%,0.17%,0,12.67
https://www.edgpatioshade.com/price,0,2,0,373,0%,0.54%,0,16.53
https://edgpatioshade.com/aluminum-pergola/,0,2,0,211,0%,0.95%,0,21.74
https://edgpatioshade.com/custom-pergolas/,0,1,0,658,0%,0.15%,0,20.93
https://edgpatioshade.com/choosing-the-perfect-custom-pergola-for-your-minneapolis-home/,0,1,0,451,0%,0.22%,0,28.24
https://edgpatioshade.com/custom-aluminum-pergola-cleveland-ohio/,0,1,0,212,0%,0.47%,0,25.19
https://edgpatioshade.com/about-us/,0,1,0,150,0%,0.67%,0,5.31
https://edgpatioshade.com/rockford-motorized-screens/,0,1,0,131,0%,0.76%,0,30.54
https://edgpatioshade.com/prostor-umbrellas/,0,1,0,79,0%,1.27%,0,12.35
https://edgpatioshade.com/work-with-us/,0,1,0,71,0%,1.41%,0,8.54
https://edgpatioshade.com/how-to-transform-unused-outdoor-areas-into-guest-favorite-spots/,0,1,0,56,0%,1.79%,0,6.66
https://edgpatioshade.com/naperville-motorized-screens/,0,1,0,52,0%,1.92%,0,14.15
https://edgpatioshade.com/luxury-outdoor-furniture/,0,1,0,47,0%,2.13%,0,25.79
https://edgpatioshade.com/kane-county-motorized-screens/,0,1,0,4,0%,25%,0,26.25
https://edgpatioshade.com/custom-aluminum-pergola-south-bend-indiana/,0,0,0,622,0%,0%,0,35.23
https://edgpatioshade.com/rooftop-louvered-pergola-chicago/,0,0,0,425,0%,0%,0,26.38
https://edgpatioshade.com/chicago-motorized-screens/,0,0,0,351,0%,0%,0,31.37
https://edgpatioshade.com/2025/04/07/motorized-screens-chicago-enjoy-your-patio-longer-better-with-edg-patio-shade/,0,0,0,295,0%,0%,0,28.18
https://edgpatioshade.com/wood-grain-aluminum-building-products/,0,0,0,254,0%,0%,0,23.56
https://edgpatioshade.com/top-rated-custom-aluminum-pergola-minneapolis-minnesota/,0,0,0,237,0%,0%,0,16.63
https://edgpatioshade.com/yoder-smokers-pellet-grills/,0,0,0,236,0%,0%,0,19.08
https://edgpatioshade.com/custom-pergolas-hospitality/,0,0,0,180,0%,0%,0,17.94
https://edgpatioshade.com/mchenry-county-motorized-screens/,0,0,0,159,0%,0%,0,43.53
https://edgpatioshade.com/portfolio-item/orland-park-il-residential-project/,0,0,0,126,0%,0%,0,25.52
https://edgpatioshade.com/tuuci-umbrellas/,0,0,0,123,0%,0%,0,30.55
https://edgpatioshade.com/essential-outdoor-appliances-for-2023/,0,0,0,119,0%,0%,0,13.01
https://edgpatioshade.com/2025/05/21/kenosha-outdoor-living-guide/,0,0,0,100,0%,0%,0,37.07
https://edgpatioshade.com/kenosha-motorized-screens/,0,0,0,79,0%,0%,0,41.62
https://edgpatioshade.com/2025/01/31/maximizing-guest-satisfaction-with-edg-patio-shade-transforming-outdoor-spaces-into-unforgettable-retreats/,0,0,0,77,0%,0%,0,7.81
https://edgpatioshade.com/trending-hospitality-amenities-that-attract-more-guests/,0,0,0,63,0%,0%,0,8.92
https://edgpatioshade.com/2025/05/01/lake-geneva-outdoor-living-guide/,0,0,0,60,0%,0%,0,40.07
https://edgpatioshade.com/contact-us/,0,0,0,58,0%,0%,0,21.74
https://edgpatioshade.com/more-for-the-outdoors/,0,0,0,57,0%,0%,0,3.23
https://edgpatioshade.com/project-gallery/,0,0,0,57,0%,0%,0,4.21
https://edgpatioshade.com/2025/01/,0,0,0,55,0%,0%,0,4.98
https://edgpatioshade.com/motorized-screens-chicago/,0,0,0,53,0%,0%,0,12.98
https://www.edgpatioshade.com/guide,0,0,0,47,0%,0%,0,10.21
https://www.edgpatioshade.com/projects/wilmette-country-club,0,0,0,47,0%,0%,0,15.51
https://edgpatioshade.com/challenger-designs-outdoor-kitchens-edg-patio-shade-authorized-dealer/,0,0,0,47,0%,0%,0,19.06
https://edgpatioshade.com/https-edgpatioshade-com-lake-geneva-motorized-screens/,0,0,0,44,0%,0%,0,33.7
https://edgpatioshade.com/2025/07/22/dupage-county-outdoor-living-guide/,0,0,0,32,0%,0%,0,9.47
https://edgpatioshade.com/dupage-county-motorized-screens/,0,0,0,32,0%,0%,0,30.03
https://edgpatioshade.com/elevating-hospitality-spaces-with-custom-pergolas/,0,0,0,31,0%,0%,0,9.94
https://www.edgpatioshade.com/guide/sanibel-zoning-outdoor-living,0,0,0,20,0%,0%,0,10.85
https://www.edgpatioshade.com/commercial/country-club-outdoor-spaces,0,0,0,20,0%,0%,0,24.45
https://edgpatioshade.com/outdoor-styling-trends-for-2023/,0,0,0,18,0%,0%,0,8.61
https://edgpatioshade.com/residential-projects/,0,0,0,14,0%,0%,0,23.86
https://edgpatioshade.com/portfolio-item/ike-oak-brewing-company-woodridge-il/,0,0,0,13,0%,0%,0,17.69
https://edgpatioshade.com/privacy-policy/,0,0,0,11,0%,0%,0,3.36
https://edgpatioshade.com/2025/07/22/kane-county-outdoor-living-guide/,0,0,0,11,0%,0%,0,4.36
https://edgpatioshade.com/category/hospitality/,0,0,0,10,0%,0%,0,7.1
https://edgpatioshade.com/portfolio-item/the-district-richmond-il/,0,0,0,5,0%,0%,0,15.2
https://edgpatioshade.com/2025/05/12/naperville-outdoor-living-guide/,0,0,0,5,0%,0%,0,15.4
https://edgpatioshade.com/portfolio_entries/burr-ridge/,0,0,0,5,0%,0%,0,26
https://www.edgpatioshade.com/_next/image?url=/images/shades/shade-deployed-screens-01.jpg&w=3840&q=75,0,0,0,3,0%,0%,0,38
https://www.edgpatioshade.com/logo.png,0,0,0,1,0%,0%,0,2
https://edgpatioshade.com/thank-you/,0,0,0,1,0%,0%,0,7
https://www.edgpatioshade.com/images/shades/shade-patio-close-01.jpg,0,0,0,1,0%,0%,0,21
