Top pages,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
https://www.edgpatioshade.com/guides/planning-guide,0,0,23,41,0%,0%,11.04,11.71
https://www.edgpatioshade.com/guides/louvered-pergola-brands-compared,0,1,21,68,0%,1.47%,11.29,11.47
https://www.edgpatioshade.com/outdoor-rooms,0,0,19,0,0%,0%,35.11,0
https://www.edgpatioshade.com/projects/karp,0,0,17,0,0%,0%,52.18,0
https://www.edgpatioshade.com/commercial/west-loop,0,0,16,37,0%,0%,8.31,15.14
https://www.edgpatioshade.com/service-areas/mchenry-county-il,0,0,13,41,0%,0%,10.69,3.78
https://www.edgpatioshade.com/service-areas/lake-forest-il/zoning-guide,0,0,11,0,0%,0%,8.64,0
https://www.edgpatioshade.com/design-your-pergola,0,2,11,50,0%,4%,22.09,14.04
https://app.edgpatioshade.com/,0,0,9,28,0%,0%,6.33,4.18
https://www.edgpatioshade.com/projects/carmines,0,0,9,0,0%,0%,19.89,0
https://www.edgpatioshade.com/service-areas/southeast-wisconsin,0,0,8,21,0%,0%,32.12,8.86
https://www.edgpatioshade.com/service-areas/algonquin-il/retractable-screens,0,0,6,0,0%,0%,6.67,0
https://www.edgpatioshade.com/projects/ohare,0,0,6,0,0%,0%,9,0
https://www.edgpatioshade.com/projects/hildebrant,0,0,5,0,0%,0%,24.2,0
https://www.edgpatioshade.com/commercial/restaurant-patio-solutions,0,0,4,16,0%,0%,4.75,9.12
https://www.edgpatioshade.com/commercial/chicago-hospitality-outdoor-living,0,0,4,10,0%,0%,7.25,6.5
https://www.edgpatioshade.com/images/shades/shade-deployed-screens-01.jpg,0,0,2,0,0%,0%,2.5,0
https://www.edgpatioshade.com/_next/image?url=/images/brand/hero-pergola.jpg&w=3840&q=75&dpl=dpl_6MJ7dfXjopD38tcCpWBMNJn2B1nT,0,0,1,0,0%,0%,4,0
https://www.edgpatioshade.com/_next/image?url=/images/shades/shades-hero.jpg&w=3840&q=75&dpl=dpl_32ddEDdrPGqYBXc7YXZrHwMonfjC,0,0,1,0,0%,0%,4,0
https://www.edgpatioshade.com/_next/image?url=/images/brand/hero-pergola.jpg&w=3840&q=75&dpl=dpl_2uRW2DFYebZNVQ9LP55bdG9Az2G8,0,0,1,0,0%,0%,5,0
https://www.edgpatioshade.com/images/enclosures/glass-enclosure-closed-exterior.jpg,0,0,1,0,0%,0%,7,0
https://www.edgpatioshade.com/service-areas/lake-forest-il/motorized-pergolas,0,0,1,0,0%,0%,7,0
